# lambda albedo      g      Cext         K
   187.3 0.3266 0.9582 2.106e-22 4.045e+04
   188.4 0.3245 0.9579 2.108e-22 4.061e+04
   189.5 0.3212 0.9578 2.107e-22 4.079e+04
   190.5 0.3286 0.9592 2.026e-22 3.880e+04
   191.6 0.3293 0.9587 2.034e-22 3.891e+04
   192.8 0.3302 0.9581 2.042e-22 3.901e+04
   193.9 0.3311 0.9575 2.050e-22 3.912e+04
   195.0 0.3318 0.9569 2.059e-22 3.923e+04
   196.1 0.3325 0.9563 2.066e-22 3.935e+04
   197.2 0.3331 0.9557 2.074e-22 3.946e+04
   198.4 0.3335 0.9551 2.082e-22 3.958e+04
   199.5 0.3339 0.9545 2.090e-22 3.970e+04
   200.7 0.3343 0.9539 2.097e-22 3.982e+04
   201.8 0.3345 0.9534 2.104e-22 3.994e+04
   203.0 0.3347 0.9528 2.111e-22 4.007e+04
   204.2 0.3348 0.9522 2.118e-22 4.019e+04
   205.4 0.3349 0.9516 2.125e-22 4.032e+04
   206.5 0.3349 0.9511 2.132e-22 4.045e+04
   207.7 0.3348 0.9505 2.139e-22 4.058e+04
   208.9 0.3347 0.9499 2.145e-22 4.071e+04
   210.1 0.3346 0.9494 2.152e-22 4.084e+04
   211.3 0.3343 0.9488 2.158e-22 4.098e+04
   212.6 0.3341 0.9482 2.164e-22 4.111e+04
   213.8 0.3338 0.9477 2.170e-22 4.125e+04
   215.0 0.3334 0.9471 2.176e-22 4.138e+04
   216.3 0.3331 0.9465 2.182e-22 4.152e+04
   217.5 0.3328 0.9460 2.189e-22 4.165e+04
   218.8 0.3325 0.9454 2.195e-22 4.179e+04
   220.0 0.3322 0.9448 2.201e-22 4.192e+04
   221.3 0.3318 0.9442 2.207e-22 4.206e+04
   222.6 0.3314 0.9437 2.213e-22 4.220e+04
   223.9 0.3310 0.9431 2.219e-22 4.234e+04
   225.2 0.3305 0.9425 2.225e-22 4.248e+04
   226.5 0.3298 0.9420 2.230e-22 4.263e+04
   227.8 0.3288 0.9415 2.235e-22 4.278e+04
   229.1 0.3278 0.9409 2.240e-22 4.294e+04
   230.4 0.3310 0.9411 2.215e-22 4.226e+04
   231.7 0.3317 0.9402 2.226e-22 4.244e+04
   233.1 0.3321 0.9393 2.237e-22 4.262e+04
   234.4 0.3322 0.9385 2.247e-22 4.280e+04
   235.8 0.3321 0.9377 2.257e-22 4.299e+04
   237.1 0.3319 0.9369 2.266e-22 4.318e+04
   238.5 0.3316 0.9362 2.274e-22 4.336e+04
   239.9 0.3313 0.9354 2.283e-22 4.354e+04
   241.3 0.3310 0.9347 2.291e-22 4.372e+04
   242.7 0.3306 0.9339 2.299e-22 4.391e+04
   244.1 0.3302 0.9332 2.308e-22 4.409e+04
   245.5 0.3298 0.9324 2.316e-22 4.427e+04
   246.9 0.3294 0.9317 2.324e-22 4.446e+04
   248.3 0.3290 0.9309 2.333e-22 4.464e+04
   249.7 0.3286 0.9301 2.341e-22 4.483e+04
   251.2 0.3281 0.9294 2.349e-22 4.501e+04
   252.6 0.3277 0.9286 2.357e-22 4.520e+04
   254.1 0.3272 0.9278 2.365e-22 4.538e+04
   255.6 0.3267 0.9271 2.373e-22 4.557e+04
   257.0 0.3262 0.9263 2.381e-22 4.575e+04
   258.5 0.3257 0.9255 2.389e-22 4.594e+04
   260.0 0.3252 0.9247 2.397e-22 4.613e+04
   261.5 0.3247 0.9239 2.404e-22 4.631e+04
   263.0 0.3242 0.9232 2.412e-22 4.650e+04
   264.5 0.3237 0.9224 2.420e-22 4.669e+04
   266.1 0.3231 0.9216 2.428e-22 4.688e+04
   267.6 0.3226 0.9208 2.436e-22 4.706e+04
   269.2 0.3221 0.9200 2.443e-22 4.725e+04
   270.7 0.3215 0.9192 2.451e-22 4.743e+04
   272.3 0.3210 0.9184 2.458e-22 4.761e+04
   273.8 0.3205 0.9176 2.466e-22 4.780e+04
   275.4 0.3200 0.9168 2.473e-22 4.798e+04
   277.0 0.3194 0.9159 2.481e-22 4.816e+04
   278.6 0.3189 0.9151 2.488e-22 4.834e+04
   280.2 0.3184 0.9143 2.496e-22 4.852e+04
   281.8 0.3179 0.9135 2.503e-22 4.870e+04
   283.5 0.3173 0.9126 2.511e-22 4.889e+04
   285.1 0.3168 0.9118 2.518e-22 4.907e+04
   286.7 0.3162 0.9110 2.525e-22 4.925e+04
   288.4 0.3157 0.9101 2.533e-22 4.944e+04
   290.1 0.3152 0.9093 2.540e-22 4.962e+04
   291.7 0.3146 0.9084 2.548e-22 4.981e+04
   293.4 0.3141 0.9076 2.555e-22 4.999e+04
   295.1 0.3135 0.9067 2.562e-22 5.017e+04
   296.8 0.3130 0.9059 2.570e-22 5.036e+04
   298.5 0.3124 0.9050 2.577e-22 5.054e+04
   300.3 0.3119 0.9041 2.584e-22 5.072e+04
   302.0 0.3114 0.9033 2.592e-22 5.091e+04
   303.7 0.3108 0.9024 2.599e-22 5.109e+04
   305.5 0.3103 0.9015 2.606e-22 5.127e+04
   307.3 0.3098 0.9006 2.613e-22 5.145e+04
   309.0 0.3092 0.8998 2.620e-22 5.163e+04
   310.8 0.3087 0.8989 2.628e-22 5.181e+04
   312.6 0.3082 0.8980 2.635e-22 5.199e+04
   314.4 0.3077 0.8971 2.642e-22 5.217e+04
   316.2 0.3072 0.8962 2.649e-22 5.235e+04
   318.1 0.3067 0.8953 2.656e-22 5.253e+04
   319.9 0.3062 0.8944 2.663e-22 5.270e+04
   321.7 0.3057 0.8934 2.670e-22 5.288e+04
   323.6 0.3052 0.8925 2.677e-22 5.306e+04
   325.5 0.3047 0.8916 2.684e-22 5.323e+04
   327.3 0.3042 0.8907 2.691e-22 5.341e+04
   329.2 0.3037 0.8898 2.698e-22 5.358e+04
   331.1 0.3032 0.8889 2.704e-22 5.375e+04
   333.0 0.3027 0.8879 2.711e-22 5.393e+04
   335.0 0.3022 0.8870 2.718e-22 5.410e+04
   336.9 0.3017 0.8861 2.725e-22 5.427e+04
   338.8 0.3012 0.8851 2.731e-22 5.444e+04
   340.8 0.3007 0.8842 2.738e-22 5.462e+04
   342.8 0.3002 0.8833 2.745e-22 5.479e+04
   344.7 0.2997 0.8823 2.751e-22 5.496e+04
   346.7 0.2993 0.8814 2.758e-22 5.513e+04
   348.7 0.2988 0.8804 2.765e-22 5.530e+04
   350.8 0.2983 0.8794 2.771e-22 5.547e+04
   352.8 0.2978 0.8785 2.778e-22 5.564e+04
   354.8 0.2973 0.8775 2.784e-22 5.581e+04
   356.9 0.2968 0.8766 2.791e-22 5.598e+04
   358.9 0.2963 0.8757 2.797e-22 5.615e+04
   361.0 0.2958 0.8748 2.804e-22 5.632e+04
   363.1 0.2953 0.8738 2.810e-22 5.648e+04
   365.2 0.2949 0.8729 2.816e-22 5.664e+04
   367.3 0.2945 0.8720 2.821e-22 5.678e+04
   369.4 0.2941 0.8710 2.827e-22 5.691e+04
   371.5 0.2938 0.8701 2.832e-22 5.705e+04
   373.7 0.2935 0.8691 2.837e-22 5.718e+04
   375.8 0.2933 0.8681 2.843e-22 5.730e+04
   378.0 0.2930 0.8671 2.848e-22 5.744e+04
   380.2 0.2928 0.8660 2.854e-22 5.757e+04
   382.4 0.2926 0.8649 2.860e-22 5.771e+04
   384.6 0.2924 0.8638 2.866e-22 5.784e+04
   386.8 0.2922 0.8627 2.872e-22 5.798e+04
   389.0 0.2920 0.8616 2.878e-22 5.812e+04
   391.3 0.2918 0.8605 2.884e-22 5.826e+04
   393.6 0.2916 0.8593 2.890e-22 5.839e+04
   395.8 0.2915 0.8581 2.896e-22 5.853e+04
   398.1 0.2913 0.8570 2.902e-22 5.867e+04
   400.4 0.2911 0.8558 2.909e-22 5.881e+04
