# lambda albedo      g      Cext         K
   187.3 0.3355 0.9638 2.883e-22 3.378e+04
   188.4 0.3335 0.9636 2.886e-22 3.393e+04
   189.5 0.3304 0.9635 2.886e-22 3.409e+04
   190.5 0.3372 0.9648 2.796e-22 3.268e+04
   191.6 0.3378 0.9643 2.807e-22 3.278e+04
   192.8 0.3385 0.9638 2.818e-22 3.288e+04
   193.9 0.3391 0.9632 2.829e-22 3.298e+04
   195.0 0.3396 0.9627 2.840e-22 3.308e+04
   196.1 0.3400 0.9622 2.851e-22 3.319e+04
   197.2 0.3403 0.9616 2.862e-22 3.330e+04
   198.4 0.3406 0.9611 2.872e-22 3.340e+04
   199.5 0.3408 0.9606 2.883e-22 3.352e+04
   200.7 0.3409 0.9601 2.893e-22 3.363e+04
   201.8 0.3410 0.9596 2.903e-22 3.374e+04
   203.0 0.3410 0.9590 2.913e-22 3.386e+04
   204.2 0.3410 0.9585 2.923e-22 3.397e+04
   205.4 0.3408 0.9580 2.932e-22 3.409e+04
   206.5 0.3407 0.9575 2.942e-22 3.421e+04
   207.7 0.3404 0.9570 2.951e-22 3.433e+04
   208.9 0.3402 0.9565 2.961e-22 3.445e+04
   210.1 0.3398 0.9560 2.970e-22 3.458e+04
   211.3 0.3395 0.9555 2.979e-22 3.470e+04
   212.6 0.3391 0.9550 2.988e-22 3.483e+04
   213.8 0.3386 0.9545 2.996e-22 3.495e+04
   215.0 0.3381 0.9540 3.005e-22 3.508e+04
   216.3 0.3377 0.9535 3.014e-22 3.521e+04
   217.5 0.3372 0.9530 3.023e-22 3.533e+04
   218.8 0.3367 0.9525 3.032e-22 3.546e+04
   220.0 0.3363 0.9520 3.040e-22 3.559e+04
   221.3 0.3358 0.9515 3.049e-22 3.572e+04
   222.6 0.3353 0.9509 3.058e-22 3.585e+04
   223.9 0.3347 0.9504 3.067e-22 3.598e+04
   225.2 0.3341 0.9499 3.075e-22 3.612e+04
   226.5 0.3332 0.9495 3.083e-22 3.626e+04
   227.8 0.3321 0.9490 3.091e-22 3.641e+04
   229.1 0.3311 0.9486 3.099e-22 3.656e+04
   230.4 0.3338 0.9487 3.073e-22 3.611e+04
   231.7 0.3342 0.9479 3.088e-22 3.626e+04
   233.1 0.3343 0.9471 3.103e-22 3.643e+04
   234.4 0.3343 0.9464 3.117e-22 3.659e+04
   235.8 0.3340 0.9457 3.130e-22 3.677e+04
   237.1 0.3335 0.9450 3.142e-22 3.693e+04
   238.5 0.3331 0.9443 3.154e-22 3.710e+04
   239.9 0.3326 0.9437 3.166e-22 3.727e+04
   241.3 0.3321 0.9430 3.178e-22 3.744e+04
   242.7 0.3316 0.9423 3.190e-22 3.761e+04
   244.1 0.3311 0.9417 3.202e-22 3.778e+04
   245.5 0.3305 0.9410 3.214e-22 3.795e+04
   246.9 0.3299 0.9403 3.226e-22 3.812e+04
   248.3 0.3294 0.9397 3.238e-22 3.829e+04
   249.7 0.3288 0.9390 3.250e-22 3.847e+04
   251.2 0.3282 0.9383 3.261e-22 3.864e+04
   252.6 0.3276 0.9376 3.273e-22 3.882e+04
   254.1 0.3269 0.9370 3.285e-22 3.899e+04
